,text,polarity
0,"RT @blogness: ICYMI: Are #Trump rallies really Bizarro #Springsteen concerts? Some told the @WSJ yes, we have our doubts: https://t.co/BmY2…",0.2
1,"@PeteButtigieg Pete
Enter
Trump
Exit
#PeteEnterTrumpExit2020",0.0
2,@NancyNoCo24 @GinaLMossburg Yeah... and Social Security is killing the country.  You are as vile as Trump.  When is… https://t.co/Urp7XORxtL,0.03333333333333333
3,"RT @punishedphant0m: What people think all K Rool mains are: people who harass others online into suicide, pedophiles, trump supporters, sc…",0.0
4,RT @hredriders: Mitt Romney says he will not support President Trump in 2020. The funny thing is he thinks we actually give a shit about wh…,0.016666666666666663
5,"RT @SenWhitehouse: A Republican operative under multiple Presidents says:  “@realDonaldTrump is profoundly compromised, acting just as you…",0.027777777777777776
6,"@JoyceWhiteVance @jgeltzer Summary: if Trump loses in 2020, he will refuse to leave the White House and declare him… https://t.co/0pq3kZyM7I",-0.15
7,@GuyGaijin Its like something so obviously fake that it can't be kinda like Trump as the preaident and what he does… https://t.co/BbyOxBfBoo,-0.5
8,RT @DiamondandSilk: These Democrats are so out of touch they don't even realize that President Trump has already signed Criminal Justice Re…,-0.4
9,RT @MadamEarth: Oxymoron - Christian Trump who can’t name a single biblical verse. https://t.co/Wl7EZGrDas,-0.03571428571428571
10,RT @CREWcrew: The Trump administration on Thursday said it would seek to open up the entire coastal plain of the Arctic National Wildlife R…,-0.07142857142857142
11,RT @tigertail65: Retweet the hell out of this.  DemocRATS keep saying Trump is the one inciting hate and violence yet these lovely people s…,-0.15000000000000002
12,“Donald Trump has been the impetus for putting everything on warp speed. [He] has pushed Democrats in California to… https://t.co/U1EAmjCQas,0.0
13,"RT @SenWhitehouse: A Republican operative under multiple Presidents says:  “@realDonaldTrump is profoundly compromised, acting just as you…",0.027777777777777776
14,RT @wakeupwithlinda: Today President Trump lifted a ban on federal funding for faith based historically black colleges and universities. ht…,-0.16666666666666666
15,"RT @LauraMcF76: Historic Winning!!

President Trump Celebrates ‘Historic Milestone’ of 150th Judge Confirmed: ‘Amazing!’ 👏👏👏
 https://t.co/…",0.38625
16,"RT @MSNBC: .@JoeNBC recounts a talk with a GOP insider, who said Pres. Trump is ""so despised on Capitol Hill."" https://t.co/F6XPWnKYhe",0.0
17,@BrianKolfage @WeBuildtheWall @realDonaldTrump @ShepNewsTeam @CNN Why blame everything on Obama he was ten times be… https://t.co/9gcevmohBV,0.0
18,"RT @JoeKing3333: Ex-ethics chief Walter Shaub asked in a lengthy Twitter thread if Donald Trump has ""created a culture where officials beli…",0.0
19,"RT @DavidLammy: Don't be distracted by Boris Johnson's Donald Trump impression.

We have a Prime Minister hell-bent on breaking the law to…",0.0
